ticker,company_name,isin,market_cap_usd_m,sales_usd_m
ENI,Eni Spa,IT0003132476,40482.67,101338.35
ENT,Entain Plc,IM00B5VQMV65,8369.32,5929.95
EPIA,Epiroc Ab-A,SE0015658109,18779.82,5686.9
EQIX,Equinix Inc,US29444U7000,59365.33,8188.14
EBS,Erste Group Bank Ag,AT0000652011,10835.33,25076.96
EL,Essilorluxottica,FR0000121667,69143.44,27460.2
ENX,Euronext Nv,NL0006294274,8201.31,2398.51
EXPN,Experian Plc,GB00B19NLV48,30491.23,7222.17
EXR,Extra Space Storage Inc,US30225T1025,25485.35,2560.24
RACE,Ferrari Nv,NL0011585146,51175.83,6455.66
FSLR,First Solar Inc,US3364331070,8181.4,3318.6
FPH,Fisher & Paykel Healthcare C,NZFAPE0001S2,7486.46,1071.78
FMG,Fortescue Metals Group Ltd,AU000000FMG4,38757.5,18431.35
FTNT,Fortinet Inc,US34959E1091,46496.68,5304.8
FME,Fresenius Medical Care Ag &,DE0005785802,12985.58,21036.18
FRE,Fresenius Se & Co Kgaa,DE0005785604,15527.46,24112.42
4901,Fujifilm Holdings Corp,JP3814000000,28378.93,19606.68
27,Galaxy Entertainment Group L,HK0027032686,25369.24,2938.15
G1A,Gea Group Ag,DE0006602006,6351.34,5810.48
GLEN,Glencore Plc,JE00B4T3BW64,70431.42,218023.04
RMS,Hermes International,FR0000052292,128583.76,14518.92
6501,Hitachi Ltd,JP3788600009,47583.68,64421.89
7267,Honda Motor Co Ltd,JP3854600008,45366.53,135276.02
388,Hong Kong Exchanges & Clear,HK0388045442,59342.91,2605.22
7741,Hoya Corp,JP3837800006,35638.68,5049.87
HSBA,Hsbc Holdings Plc,GB0005405286,126056.59,135428.87
HUBS,Hubspot Inc,US4435731009,14133.91,2170.23
IAG,Ia Financial Corp Inc,CA45075E1043,5378.14,7064.99
IBE,Iberdrola Sa,ES0144580Y14,64793.87,53142.7
5019,Idemitsu Kosan Co Ltd,JP3142500002,7236.41,57737.05
IMCD,Imcd Nv,NL0010801007,8455.09,4803.93
IMB,Imperial Brands Plc,GB0004544929,21330.8,22474.78
INDT,Indutrade Ab,SE0001515552,7809.56,3000.22
IFX,Infineon Technologies Ag,DE0006231004,33371.85,17635.3
INGA,Ing Groep Nv,NL0011821202,35106.75,65089.16
IR,Ingersoll-Rand Inc,US45687V1061,19021.87,6876.1
ISP,Intesa Sanpaolo,IT0000072618,33909.9,52414.97
ISRG,Intuitive Surgical Inc,US46120E6023,80887.26,7124.1
LATOB,Investment Ab Latour-B Shs,SE0010100958,13411.54,2412.81
INVEB,Investor Ab-B Shs,SE0015811963,55369.07,6590.13
DSCT,Israel Discount Bank-A,IL0006912120,6907.22,6413.47
8001,Itochu Corp,JP3143600009,44796.01,92932.88
2914,Japan Tobacco Inc,JP3726800000,35396.1,20208.65
KBC,Kbc Group Nv,BE0003565737,21331.62,28728.59
KEP,Keppel Corp Ltd,SG1U68934629,8756.53,5187.24
6861,Keyence Corp,JP3236200006,95334.23,6405.21
KGF,Kingfisher Plc,GB0033195214,5950.99,16595.2
KLAC,Kla Corp,US4824801009,53894.75,9793.87
LI,Klepierre,FR0000121964,6137.32,1618.63
3038,Kobe Bussan Co Ltd,JP3291200008,7374.4,3282.99
6301,Komatsu Ltd,JP3304200003,21359.23,25647.47
KPN,Koninklijke Kpn Nv,NL0000009082,13828.03,5881.32
PHIA,Koninklijke Philips Nv,NL0000009538,18599.15,19646.56
OR,L'oreal,FR0000120321,193080.75,44531.58
LEG,Leg Immobilien Se,DE000LEG1110,6252.19,1394.69
LR,Legrand Sa,FR0010307819,20938.35,9101.39
LLOY,Lloyds Banking Group Plc,GB0008706128,37346.87,68304.57
LOGN,Logitech International-Reg,CH0025751329,9305.59,4326.16
LONN,Lonza Group Ag-Reg,CH0013841017,41699.72,7477.56
MC,Lvmh Moet Hennessy Louis Vui,FR0000121014,324894.03,93159.22
MQG,Macquarie Group Ltd,AU000000MQG1,46489.54,19801.82
MRVL,Marvell Technology Inc,US5738741041,45036.2,5507.7
META,Meta Platforms Inc-Class A,US30303M1027,458971.46,134902.0
MCHP,Microchip Technology Inc,US5950171042,36834.12,7634.4
MU,Micron Technology Inc,US5951121038,68273.65,25111.0
MSFT,Microsoft Corp,US5949181045,2009915.31,245122.0
8058,Mitsubishi Corp,JP3898400001,43097.07,129573.29
8593,Mitsubishi Hc Capital Inc,JP3499800005,6881.74,12916.43
8031,Mitsui & Co Ltd,JP3893600001,35168.13,88235.48
MZTF,Mizrahi Tefahot Bank Ltd,IL0006954379,9251.26,6832.23
MDB,Mongodb Inc,US60937P1066,19747.9,1683.01
MPWR,Monolithic Power Systems Inc,US6098391054,21036.46,1821.07
MUV2,Muenchener Rueckver Ag-Reg,DE0008430026,31221.52,69996.2
NAB,National Australia Bank Ltd,AU000000NAB4,66307.04,34323.47
NG/,National Grid Plc,GB00BDR05C01,48805.62,25378.63
NEM,Nemetschek Se,DE0006452907,7095.33,920.81
NESTE,Neste Oyj,FI0009013296,34836.98,24673.63
NESN,Nestle Sa-Reg,CH0038863350,334956.19,103528.01
NFLX,Netflix Inc,US64110L1061,100739.09,33723.3
NXT,Next Plc,GB0032089863,10192.57,7020.36
NEE,Nextera Energy Inc,US65339F1012,157906.48,22809.0
NIBEB,Nibe Industrier Ab-B Shs,SE0015988019,18386.52,4396.34
6594,Nidec Corp,JP3734800000,39788.49,15542.48
7974,Nintendo Co Ltd,JP3756600007,56658.93,11070.8
NN,Nn Group Nv,NL0010773842,13939.27,21640.52
NOKIA,Nokia Oyj,FI0009000681,29360.64,24068.09
4307,Nomura Research Institute Lt,JP3762800005,17502.23,4877.35
NDA,Nordea Bank Abp,FI4000297767,35760.77,29776.39
NST,Northern Star Resources Ltd,AU000000NST8,5929.49,3262.21
NOVN,Novartis Ag-Reg,CH0012005267,206659.96,45458.39
NVDA,Nvidia Corp,US67066G1040,444749.98,60922.0
NXPI,Nxp Semiconductors Nv,NL0009538784,47634.5,13276.0
4684,Obic Co Ltd,JP3173400007,15352.66,738.93
OKTA,Okta Inc,US6792951054,15213.05,2263.0
OMV,Omv Ag,AT0000743059,13977.33,42672.25
ON,On Semiconductor,US6821891057,27160.95,8253.0
