portfolio,ticker,isin,holdings,cusip,sedol,pct_of_fund,shares,market_value
Pictet - AI-Enhanced International Equities ETF,BOL,FR0000039299,BOLIDEN AB /SEK/,W17218210,BPYTZ57,0.11,153,"11,292"
Pictet - AI-Enhanced International Equities ETF,IAG,CA45075E1043,INTL CONSOLIDATED AIRLIN /EUR/,E67674106,B5282K0,0.1,1677,"9,467"
Pictet - AI-Enhanced International Equities ETF,LEG,DE000LEG1110,LEG IMMOBILIEN SE /EUR/,D4960A103,B9G6L89,0.1,140,"10,280"
Pictet - AI-Enhanced International Equities ETF,ALO,FR0010220475,ALSTOM /EUR/,F0259M475,B0DJ8Q5,0.1,298,"9,652"
Pictet - AI-Enhanced International Equities ETF,FRE,DE0005785604,FRESENIUS SE & CO KGAA /EUR/,D27348263,4352097,0.1,171,"9,520"
Pictet - AI-Enhanced International Equities ETF,27,HK0027032686,GALAXY ENTERTAINMENT GRO /HKD/,Y2679D118,6465874,0.1,1972,"10,234"
Pictet - AI-Enhanced International Equities ETF,LUMI,IL0006046119,BANK LEUMI LE-ISRAEL /ILS/,M16043107,6076425,0.1,429,"10,272"
Pictet - AI-Enhanced International Equities ETF,CYBR,IL0011334468,CYBERARK SOFTWARE LTD/ISRAEL,M2682V108,BQT3XY6,0.1,24,"10,300"
Pictet - AI-Enhanced International Equities ETF,ENT,IM00B5VQMV65,ENTAIN PLC /GBP/,G3167C109,B5VQMV6,0.1,1190,"10,139"
Pictet - AI-Enhanced International Equities ETF,3038,JP3291200008,KOBE BUSSAN CO LTD /JPY/,J3478K102,B14RJB7,0.1,409,"10,185"
Pictet - AI-Enhanced International Equities ETF,OMV,AT0000743059,OMV AG /EUR/,A51460110,4651459,0.1,159,"9,503"
Pictet - AI-Enhanced International Equities ETF,ADM,GB00B02J6398,ADMIRAL GROUP PLC /GBP/,G0110T106,B02J639,0.1,253,"9,521"
Pictet - AI-Enhanced International Equities ETF,KGF,GB0033195214,KINGFISHER PLC /GBP/,G5256E441,3319521,0.08,1868,"8,524"
Pictet - AI-Enhanced International Equities ETF,PNDORA,DK0060252690,PANDORA A/S /DKK/,K7681L102,B44XTX8,0.08,110,"8,523"
Pictet - AI-Enhanced International Equities ETF,SBRY,GB00B019KW72,SAINSBURY (J) PLC /GBP/,G77732173,B019KW7,0.08,2131,"9,269"
Pictet - AI-Enhanced International Equities ETF,CON,DE0005439004,CONTINENTAL AG /EUR/,D16212140,4598589,0.08,110,"8,805"
Pictet - AI-Enhanced International Equities ETF,STLAM,NL00150001Q9,STELLANTIS NV /EUR/,N82405106,BMD8KX7,0.07,814,"7,885"
Pictet - AI-Enhanced International Equities ETF,SCHP,CH0024638196,SCHINDLER HOLDING-PART C /CHF/,H7258G209,B11TCY0,0.07,20,"7,786"
Pictet - AI-Enhanced International Equities ETF,KPN,NL0000009082,KONINKLIJKE KPN NV /EUR/,N4297B146,5956078,0.07,1642,"8,014"
Pictet - AI-Enhanced International Equities ETF,6301,JP3304200003,KOMATSU LTD /JPY/,J35759125,6496584,0.07,197,"7,501"
Pictet - AI-Enhanced International Equities ETF,LATOB,SE0010100958,INVESTMENT AB LATOUR-B S /SEK/,W5R10B108,BZ404X1,0.07,286,"7,191"
Pictet - AI-Enhanced International Equities ETF,NN,NL0010773842,NN GROUP NV /EUR/,N64038107,BNG8PQ9,0.06,78,"6,162"
Pictet - AI-Enhanced International Equities ETF,VWS,DK0061539921,VESTAS WIND SYSTEMS A/S /DKK/,K9773J201,BN4MYF5,0.06,210,"6,304"
Pictet - AI-Enhanced International Equities ETF,AV/,GB00BPQY8M80,AVIVA PLC /GBP/,G0683Q158,BPQY8M8,0.06,721,"6,302"
Pictet - AI-Enhanced International Equities ETF,REC,IT0003828271,RECORDATI INDUSTRIA CHIM /EUR/,T78458139,B07DRZ5,0.06,127,"7,042"
Pictet - AI-Enhanced International Equities ETF,1997,KYG9593A1040,WHARF REAL ESTATE INVEST /HKD/,G9593A104,BF0GWS4,0.06,1800,"6,407"
Pictet - AI-Enhanced International Equities ETF,4661,JP3198900007,ORIENTAL LAND CO LTD /JPY/,J6174U100,6648891,0.06,378,"6,790"
Pictet - AI-Enhanced International Equities ETF,MZTF,IL0006954379,MIZRAHI TEFAHOT BANK LTD /ILS/,M7031A135,6916703,0.05,74,"5,742"
Pictet - AI-Enhanced International Equities ETF,NEM,DE0006452907,NEMETSCHEK SE  /EUR/,D56134105,5633962,0.05,60,"5,282"
Pictet - AI-Enhanced International Equities ETF,TTE,FR0000120271,TOTALENERGIES SE /EUR/,F92124100,B15C557,0.05,81,"5,877"
Pictet - AI-Enhanced International Equities ETF,AKRBP,NO0010345853,AKER BP ASA /NOK/,R0139K100,B1L95G3,0.05,200,"5,896"
Pictet - AI-Enhanced International Equities ETF,RIO,GB0007188757,RIO TINTO LTD /AUD/,Q81437107,6220103,0.05,52,"5,700"
Pictet - AI-Enhanced International Equities ETF,REA,AU000000REA9,REA GROUP LTD /AUD/,Q8051B108,6198578,0.05,38,"5,013"
Pictet - AI-Enhanced International Equities ETF,EDPR,ES0127797019,EDP RENOVAVEIS SA /EUR/,E3847K101,B39GNW2,0.04,320,"4,860"
Pictet - Cleaner Planet ETF,AMAT,US0382221051,APPLIED MATERIALS INC,38222105,2046552,6.35,2506,"855,398"
Pictet - Cleaner Planet ETF,ASML,NL0010273215,ASML HOLDING NV /EUR/,N07059202,B929F46,6.28,596,"847,510"
Pictet - Cleaner Planet ETF,CDNS,US1273871087,CADENCE DESIGN SYS INC,127387108,2302232,4.52,2015,"609,880"
Pictet - Cleaner Planet ETF,TT,IE00BK9ZQ967,TRANE TECHNOLOGIES PLC,G8994E103,BK9ZQ96,3.66,1159,"493,815"
Pictet - Cleaner Planet ETF,SU.FP,FR0000121972,SCHNEIDER ELEC SA /EUR/,F86921107,4834108,3.27,1533,"441,470"
Pictet - Cleaner Planet ETF,MRVL,US5738741041,MARVELL TECHNOLOGY INC,573874104,BNKJSM5,3.21,5326,"433,217"
Pictet - Cleaner Planet ETF,NXPI,NL0009538784,NXP SEMICONDUCTORS NV,N6596X109,B505PN7,3.15,1824,"425,904"
Pictet - Cleaner Planet ETF,ADSK,US0527691069,AUTODESK INC,52769106,2065159,2.97,1569,"401,162"
Pictet - Cleaner Planet ETF,ETN,IE00B8KQN827,EATON CORP PLC,G29183103,B8KQN82,2.96,1129,"400,084"
Pictet - Cleaner Planet ETF,TMO,US8835561023,THERMO FISHER SCIENTIFIC INC,883556102,2886907,2.79,636,"376,614"
Pictet - Cleaner Planet ETF,KLAC,US4824801009,KLA CORP,482480100,2480138,2.78,223,"375,690"
Pictet - Cleaner Planet ETF,IFX,DE0006231004,INFINEON TECHNOLOGIES AG /EUR/,D35415104,5889505,2.72,7358,"366,909"
Pictet - Cleaner Planet ETF,ECL,US2788651006,ECOLAB INC,278865100,2304227,2.66,1266,"358,063"
Pictet - Cleaner Planet ETF,AVGO,US11135F1012,BROADCOM INC,11135F101,BDZ78H9,2.62,1070,"353,881"
Pictet - Cleaner Planet ETF,TSM,TW0002330008,TAIWAN SEMICONDUCTOR-SP ADR,874039100,2113382,2.55,1016,"344,983"
Pictet - Cleaner Planet ETF,ADI,US0326541051,ANALOG DEVICES INC,32654105,2032067,2.51,1063,"338,778"
Pictet - Cleaner Planet ETF,ON,US6821891057,ON SEMICONDUCTOR,682189105,2583576,2.03,4400,"273,680"
Pictet - Cleaner Planet ETF,IBE,ES0144580Y14,IBERDROLA SA /EUR/,E6165F166,B288C92,1.97,11778,"265,415"
Pictet - Cleaner Planet ETF,FSLR,US3364331070,FIRST SOLAR INC,336433107,B1HMF22,1.72,1038,"232,522"
Pictet - Cleaner Planet ETF,NEE,US65339F1012,NEXTERA ENERGY INC,65339F101,2328915,1.64,2511,"221,420"
Pictet - Cleaner Planet ETF,CPRT,US2172041061,COPART INC,217204106,2208073,1.59,5309,"213,847"
Pictet - Cleaner Planet ETF,SAP,DE0007164600,SAP SE /EUR/,D66992104,4846288,1.58,1082,"212,487"
Pictet - Cleaner Planet ETF,XEL,US98389B1008,XCEL ENERGY INC,98389B100,2614807,1.57,2780,"211,197"
Pictet - Cleaner Planet ETF,ASM,NL0000334118,ASM INTERNATIONAL NV /EUR/,N07045201,5165294,1.56,252,"210,136"
Pictet - Cleaner Planet ETF,TTEK,US88162G1031,TETRA TECH INC,88162G103,2883890,1.54,5475,"209,255"
Pictet - Cleaner Planet ETF,BLD,US89055F1030,TOPBUILD CORP,89055F103,BZ0P3W2,1.52,428,"205,479"
Pictet - Cleaner Planet ETF,CNM,US21874C1027,CORE & MAIN INC-CLASS A,21874C102,BNXKS92,1.44,3581,"194,054"
Pictet - Cleaner Planet ETF,WM,US94106L1098,WASTE MANAGEMENT INC,94106L109,2937667,1.43,865,"193,007"
Pictet - Cleaner Planet ETF,XYL,US98419M1009,XYLEM INC,98419M100,B3P2CN8,1.35,1329,"183,296"
Pictet - Cleaner Planet ETF,MPWR,US6098391054,MONOLITHIC POWER SYSTEMS INC,609839105,B01Z7J1,1.34,153,"181,022"
Pictet - Cleaner Planet ETF,BEAN,CH1101098163,BELIMO HOLDING AG-REG /CHF/,H07171129,BP0QDP8,1.32,163,"178,057"
Pictet - Cleaner Planet ETF,8035,JP3571400005,TOKYO ELECTRON LTD /JPY/,J86957115,6895675,1.26,630,"170,366"
Pictet - Cleaner Planet ETF,A,US00846U1016,AGILENT TECHNOLOGIES INC,00846U101,2520153,1.25,1269,"169,120"
Pictet - Cleaner Planet ETF,SWECB,SE0014960373,SWECO AB-B SHS /SEK/,W31065225,BLN9XH8,1.22,9881,"163,685"
Pictet - Cleaner Planet ETF,CARR,US14448C1045,CARRIER GLOBAL CORP,14448C104,BK4N0D7,1.21,2736,"163,585"
Pictet - Cleaner Planet ETF,SIE.GR,DE0007236101,SIEMENS AG-REG /EUR/,D69671218,5727973,1.12,497,"151,752"
Pictet - Cleaner Planet ETF,WCN,CA94106B1013,WASTE CONNECTIONS INC,94106B101,BYVG1F6,1.02,818,"136,794"
Pictet - Cleaner Planet ETF,RSG,US7607591002,REPUBLIC SERVICES INC,760759100,2262530,0.99,626,"134,434"
Pictet - Cleaner Planet ETF,PNR,IE00BLS09M33,PENTAIR PLC,G7S00T104,BLS09M3,0.99,1272,"134,718"
Pictet - Cleaner Planet ETF,ANET,US0404131064,ARISTA NETWORKS INC,40413205,BL9XPM3,0.93,845,"125,187"
Pictet - Cleaner Planet ETF,CSL,AU000000CSL8,CARLISLE COS INC,142339100,2176318,0.83,326,"111,495"
Pictet - Cleaner Planet ETF,SNPS,US8716071076,SYNOPSYS INC,871607107,2867719,0.81,229,"109,920"
Pictet - Cleaner Planet ETF,IR,US45687V1061,INGERSOLL-RAND INC,45687V106,BL5GZ82,0.77,1168,"103,800"
Pictet - Cleaner Planet ETF,ROK,US7739031091,ROCKWELL AUTOMATION INC,773903109,2754060,0.76,240,"102,415"
Pictet - Cleaner Planet ETF,DSY,FR0014003TT8,DASSAULT SYSTEMES SE /EUR/,F24571451,BM8H5Y5,0.74,3678,"100,522"
Pictet - Cleaner Planet ETF,NVDA,US67066G1040,NVIDIA CORP,67066G104,2379504,0.74,523,"100,683"
Pictet - Cleaner Planet ETF,3750,CNE100003662,CONTEMPORARY AMPEREX TEC /HKD/,Y1R48E113,BT9QPW8,0.74,1631,"99,771"
Pictet - Cleaner Planet ETF,TSLA,US88160R1014,TESLA INC,88160R101,B616C79,0.73,236,"98,308"
Pictet - Cleaner Planet ETF,NEM,DE0006452907,NEMETSCHEK SE  /EUR/,D56134105,5633962,0.7,1068,"94,026"
Pictet - Cleaner Planet ETF,AWK,US0304201033,AMERICAN WATER WORKS CO INC,30420103,B2R3PV1,0.7,731,"94,299"
Pictet - Cleaner Planet ETF,ALB,US0126531013,ALBEMARLE CORP,12653101,2046853,0.68,503,"90,892"
Pictet - Cleaner Planet ETF,SSE,GB0007908733,SSE PLC /GBP/,G8842P102,790873,0.68,2756,"91,878"
Pictet - Cleaner Planet ETF,DLR,US2538681030,DIGITAL REALTY TRUST INC,253868103,B03GQS4,0.67,534,"89,413"
Pictet - Cleaner Planet ETF,SFM,US85208M1027,SPROUTS FARMERS MARKET INC,85208M102,BCGCR79,0.6,1146,"80,976"
Pictet - Cleaner Planet ETF,NXT,GB0032089863,NEXTPOWER INC-CL A,65290E101,BR1GTS6,0.6,676,"81,850"
Pictet - Cleaner Planet ETF,BLDR,US12008R1077,BUILDERS FIRSTSOURCE INC,12008R107,B0BV2M7,0.58,677,"78,011"
